,icd_code_4_char,n_cases
0,S00.0,686
1,S00.1,192
2,S00.2,39
3,S00.3,47
4,S00.4,20
5,S00.5,31
6,S00.8,494
7,S00.9,14
8,S01.0,424
9,S01.1,179
10,S01.2,64
11,S01.3,40
12,S01.4,35
13,S01.5,135
14,S01.8,329
16,S02.0,141
17,S02.1,346
18,S02.2,233
19,S02.3,186
20,S02.4,482
21,S02.5,50
22,S02.6,102
23,S02.8,242
25,S03.0,6
26,S03.2,6
27,S04.0,7
29,S04.5,8
30,S05.0,17
31,S05.1,39
32,S05.2,7
33,S05.3,14
34,S05.4,6
37,S05.8,6
39,S06.0,271
40,S06.1,76
41,S06.2,41
42,S06.3,359
43,S06.4,56
44,S06.5,703
45,S06.6,697
46,S06.8,179
47,S06.9,12
53,S09.8,13
54,S09.9,10
57,S10.8,41
58,S10.9,23
62,S11.8,26
63,S11.9,9
64,S12.0,46
65,S12.1,96
66,S12.2,31
67,S12.3,37
68,S12.4,55
69,S12.5,108
70,S12.6,144
71,S12.8,10
73,S13.0,7
74,S13.1,13
75,S13.4,98
76,S13.8,8
78,S14.1,70
80,S14.3,9
81,S15.0,21
82,S15.1,31
86,S16.1,8
91,S20.0,16
93,S20.2,183
94,S20.3,76
95,S20.4,29
96,S20.9,10
98,S21.1,37
99,S21.2,10
101,S21.4,6
102,S22.0,872
103,S22.2,276
104,S22.3,234
105,S22.4,1405
106,S22.5,117
109,S23.3,10
111,S24.1,17
112,S25.0,58
117,S26.1,16
118,S26.9,8
119,S27.0,401
120,S27.1,155
121,S27.2,209
122,S27.3,416
124,S27.6,11
125,S27.8,57
127,S29.8,9
129,S30.0,66
130,S30.1,154
131,S30.2,9
132,S30.8,146
134,S31.0,8
135,S31.1,43
137,S31.3,6
139,S31.6,14
140,S31.8,6
141,S32.0,870
142,S32.1,165
143,S32.2,10
144,S32.3,49
145,S32.4,188
146,S32.5,261
147,S32.6,8
148,S32.8,88
151,S33.2,18
153,S33.4,7
158,S34.1,11
161,S35.0,7
163,S35.2,10
164,S35.4,8
165,S35.5,20
167,S36.0,156
168,S36.1,142
169,S36.2,13
171,S36.4,47
172,S36.5,35
174,S36.8,75
175,S37.0,94
177,S37.2,12
178,S37.3,14
179,S37.8,32
181,S39.0,6
182,S39.8,7
184,S40.0,94
185,S40.2,137
186,S40.8,80
187,S41.0,18
188,S41.1,39
189,S42.0,293
190,S42.1,239
191,S42.2,91
192,S42.3,40
193,S42.4,35
194,S43.0,23
195,S43.1,15
196,S43.2,9
202,S45.1,6
209,S50.0,33
210,S50.1,29
211,S50.3,205
212,S50.8,114
213,S51.0,66
214,S51.8,65
215,S52.0,35
216,S52.1,36
217,S52.2,44
218,S52.3,36
219,S52.5,171
220,S52.6,90
233,S56.4,7
237,S60.0,11
239,S60.2,43
240,S60.3,15
241,S60.4,66
242,S60.5,182
243,S60.8,47
245,S61.0,14
246,S61.2,44
248,S61.4,56
249,S61.5,26
250,S62.0,20
251,S62.1,25
252,S62.2,17
253,S62.3,65
254,S62.5,23
255,S62.6,82
257,S63.0,15
259,S63.2,9
269,S66.1,9
280,S70.0,64
281,S70.1,55
282,S70.2,72
283,S70.3,47
284,S71.0,8
285,S71.1,35
286,S72.0,41
287,S72.1,59
288,S72.2,14
289,S72.3,55
290,S72.4,41
293,S73.0,14
296,S75.0,9
307,S80.0,69
308,S80.1,37
309,S80.2,389
310,S80.8,164
311,S81.0,58
312,S81.8,60
313,S82.0,33
314,S82.1,96
315,S82.2,65
316,S82.3,17
317,S82.4,81
318,S82.5,33
319,S82.6,38
320,S82.8,98
324,S83.2,12
325,S83.4,8
326,S83.5,9
331,S85.1,6
342,S90.0,11
345,S90.5,30
346,S90.8,15
347,S91.0,9
350,S91.3,18
351,S92.0,46
352,S92.1,36
353,S92.2,42
354,S92.3,116
355,S92.4,16
356,S92.5,7
358,S93.0,8
361,S93.4,6
